Unnamed: 0.1,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
0,0.0004,8,2800,2.3,0,26,81,3,,705.7485803,2198.678269,81.4325285,34
1,0.0007,15,2800,2.3,0,29,112,5,,805.4941752,3110.874056,138.8783061,34
2,0.0007,32,2900,2.3,0,40,157,4.5,,1430.245656,5613.7142,160.9026363,25
3,0.001,28,2900,2.3,0,38,150,4,,1153.903809,4554.883458,121.4635589,31
4,0.0011,20,2900,2.3,0,30,127,5,,788.8607683,3339.510586,131.4767947,36
5,0.0011,32,2900,2.3,0,38,157,4,,1168.699059,4828.572428,123.0209536,32
6,0.0014,20,2900,2.5,0,38,127,5,,922.0424512,3081.562929,121.3213752,44
7,0.0018,5,1450,2,0,50,130,5,,702.8605544,1827.437441,70.28605544,54
8,0.0018,8,1450,2,0,50,158,6.4,,822.0706914,2597.743385,105.2250485,48
9,0.0018,12.5,1450,2,0,48,198,4,,915.771394,3777.557,76.31428284,42
10,0.0018,20,1450,2,0,50,250,5,,1115.721583,5578.607917,111.5721583,32
11,0.0018,32,2900,2.3,0,40,157,6,,1043.964704,4097.561464,156.5947056,40
12,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
13,0.0018,8,1450,2.3,0,48,165,6,,789.1878638,2712.833282,98.64848297,
14,0.0018,12.5,1450,2.3,0,50,195,6,,953.9285355,3720.321288,114.4714243,
15,0.0018,20,1450,2.3,0,50,251,6.5,,1115.721583,5600.922349,145.0438059,
16,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
17,0.0018,8,1450,2.3,0,48,165,6,,789.1878638,2712.833282,98.64848297,
18,0.0018,12.5,1450,2.3,0,50,195,6,,953.9285355,3720.321288,114.4714243,
19,0.0018,20,1450,2.3,0,50,251,6.5,,1115.721583,5600.922349,145.0438059,
20,0.0028,13,1450,1,0,53,209,7,,884.1738032,3486.647639,116.7776721,
21,0.0031,20,1450,0.9,0,75,259,7,,1396.209849,4821.578013,130.3129193,
22,0.0032,49,2950,1.6,0,56,209,9,,1390.603744,5189.931829,223.4898874,
23,0.0035,80.78,2900,1.55,0,52,242,4,26,1480.523409,6890.128171,113.8864161,42.21
24,0.0035,50.34,2900,1.04,0,48,200,6,38,1167.319193,4863.829972,145.9148992,51.09
25,0.0035,31.25,2900,1.54,0,44,160,5.6,42,912.8091867,3319.306133,116.1757147,56.32
26,0.0035,20,2900,2,0,50,130,5,,893.9035351,2324.149191,89.39035351,60
27,0.0035,32,2900,2,0,50,158,6.4,,1045.515917,3303.830298,133.8260374,54
28,0.0035,50,2900,2,0,48,198,4,,1164.685202,4804.326456,97.05710013,48
29,0.0035,80,2900,2,0,50,250,5,,1418.983412,7094.91706,141.8983412,38
30,0.0035,12.5,1450,2,0,65,200,8,,993.5598034,3057.107087,122.2842835,55
31,0.0035,20,1450,2,0,65,254,4.5,,1162.074596,4541.029958,80.45131816,46
32,0.0035,32,1450,2.5,0,65,315,8,,1359.170692,6586.750278,167.2825467,35
33,0.0035,5,1450,2.5,0,65,131,10,,732.0611223,1475.384723,112.624788,64
34,0.0035,50,2900,2.3,0,40,195,5,,970.5710013,4731.533631,121.3213752,46
35,0.0035,20,2900,2.3,0,38,127,5,,679.3666867,2270.514979,89.39035351,58
36,0.0035,32,2900,2.3,0,51,157,7,,1066.426235,3282.91998,146.3722284,52
37,0.0035,80,2900,2.3,0,49,245,7,,1390.603744,6953.018719,198.6576777,38
38,0.0035,12.5,2900,2.3,0,55,110,15,,840.704449,1681.408898,229.2830315,62
39,0.0035,20,2900,2.3,0,56,135,8,,1001.171959,2413.539545,143.0245656,58
40,0.0035,32,2900,2.3,0,58,157,8.5,,1212.798464,3282.91998,177.7377059,52
