Unnamed: 0,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
215,0.0278,125,2900,3,0,100,310,12,,1650.523602,5116.623167,198.0628323,
224,0.03,15.91,1500,2.24,0,116,232,21.5,,938.9467525,1877.893505,174.028924,80.4
5,0.0011,32,2900,2.3,0,38,157,4,,1168.699059,4828.572428,123.0209536,32
12,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
316,0.1375,84,1475,2.8,0,210,514,30,,1781.878786,4361.360457,254.5541123,
76,0.0069,80,2900,2.3,0,80,252,7.5,,1810.660187,5703.579589,169.7493925,
1,0.0007,15,2800,2.3,0,29,112,5,,805.4941752,3110.874056,138.8783061,34
4,0.0011,20,2900,2.3,0,30,127,5,,788.8607683,3339.510586,131.4767947,36
250,0.052,44,1450,2.3,0,140,370,20,,1324.172243,3499.59807,189.1674632,
169,0.0194,82,2950,2.4,0,93,259,12,,1503.673881,4187.650916,194.0224363,
30,0.0035,12.5,1450,2,0,65,200,8,,993.5598034,3057.107087,122.2842835,55
6,0.0014,20,2900,2.5,0,38,127,5,,922.0424512,3081.562929,121.3213752,44
194,0.0278,32,2900,2.3,0,90,215,12,,943.2154448,2253.236896,125.7620593,
274,0.0556,20,1450,2.3,0,158,280,25.6,,1123.678716,1991.329371,182.0643996,
187,0.0278,12.5,1450,2.5,0,125,216,26.5,,957.6314902,1654.787215,203.0178759,76
329,0.2222,82,1475,5,0,240,514,40,,1721.4768,3686.829481,286.9128001,
334,0.3056,40,1450,2,0,330,509,77,,1675.519502,2584.361898,390.9545504,
96,0.007,32,1450,2.5,0,80,315,7.5,,1327.722453,5227.90716,124.47398,52
309,0.1111,20,1450,3.8,0,178,258,38,,1005.059982,1456.772333,214.5633669,
51,0.0035,32,2900,2.3,0,48,165,6,,1003.69528,3450.202527,125.4619101,
136,0.0139,50,2900,2.3,0,70,195,10,,1072.547269,2987.810249,153.2210384,
137,0.0139,80,2900,2.3,0,80,255,9,,1433.66731,4569.814549,161.2875723,
109,0.0097,20,1475,0.7,0,93,259,12,,1183.683796,3296.495733,152.733393,
243,0.045,29,2950,5,0,116,169,29,,1001.966383,1459.761368,250.4915957,
239,0.04,4.9,1450,6,0,144,172,35,,715.1676396,854.228014,173.825468,78.3
233,0.0353,82,2950,4,0,55,259,16,,728.4097301,3430.147638,211.9010124,
